seedKey,fullName,nickname,lifecycleScenario,isArchived,dateOfBirth,gender
student-049,Nguyễn Cao Khôi Nguyên,Bơ,ACTIVE,FALSE,3/2/2024,MALE
student-050,Nguyễn Diệu Nhi,,ACTIVE,FALSE,2/5/2024,FEMALE
student-051,Đặng Minh Phương,,ACTIVE,FALSE,2/2/2024,FEMALE
student-052,Phạm Mai Phương,Mina,ACTIVE,FALSE,5/4/2024,FEMALE
student-053,Nguyễn Thu Quỳnh,,ACTIVE,FALSE,24/04/2024,FEMALE
student-054,Cù Phương Thảo,Bông,ACTIVE,FALSE,18/12/2023,FEMALE
student-055,Trần Hạ Vũ,,DEFERRED,FALSE,14/03/2024,MALE
student-056,Nguyễn Minh Anh,,DEFERRED,FALSE,19/05/2023,FEMALE
student-057,Nguyễn Trần Minh Anh,Su,DEFERRED,FALSE,22/05/2023,FEMALE
student-058,Phan Mỹ Anh,,DEFERRED,FALSE,3/3/2023,FEMALE
student-059,Lê Quang Anh,,WAITING,FALSE,26/03/2023,MALE
student-060,Bùi Phương Chi,,WAITING,FALSE,2/6/2023,FEMALE
student-061,Nguyễn Linh Đan,,WAITING,FALSE,4/11/2023,FEMALE
student-062,Cao Anh Dũng,,COMPLETED,FALSE,1/9/2023,MALE
student-063,Hoàng Bảo Hân,Cam,COMPLETED,FALSE,26/02/2023,FEMALE
student-064,Đỗ Quang Hiếu,Voi,GRADUATED,FALSE,23/10/2023,MALE
student-065,Nguyễn Trí Hưng,,GRADUATED,FALSE,7/10/2023,MALE
student-066,Bùi Gia Huy,Sữa,WITHDRAWN,FALSE,28/04/2023,MALE
